job_id,max_salary,med_salary,min_salary,location
85008768,52000.0,0.0,45760.0,"Chico, CA"
133114754,0.0,0.0,0.0,"Santa Clarita, CA"
133196985,0.0,0.0,0.0,"New York, NY"
381055942,0.0,0.0,0.0,"Forney, TX"
529257371,0.0,0.0,0.0,"New York, NY"
903408693,42000.0,0.0,37000.0,"Albany, GA"
967848246,0.0,0.0,0.0,United States
1004740969,0.0,0.0,0.0,"Forney, TX"
1029078768,50.0,0.0,50.0,"Muskegon, MI"
1053342128,0.0,0.0,0.0,"Midland, TX"
1418582485,0.0,0.0,0.0,"Las Vegas, NV"
1483357774,0.0,0.0,0.0,"Louisville, KY"
1535492735,20.0,0.0,18.0,"Ocoee, FL"
1657978824,12000.0,0.0,12000.0,"Texas, United States"
1928027033,0.0,0.0,0.0,"Minot, ND"
2148434014,0.0,0.0,0.0,"Maine, United States"
2148434019,0.0,0.0,0.0,"Connecticut, United States"
2148434032,0.0,0.0,0.0,"Atlanta, GA"
2148434033,0.0,65000.0,0.0,"Phoenix, AZ"
2148434077,0.0,0.0,0.0,"Patchogue, NY"
2148434137,0.0,0.0,0.0,"New York, United States"
2148434265,0.0,0.0,0.0,"Atlanta, GA"
2148434427,0.0,0.0,0.0,"Richmond, VA"
2148434586,170976.0,0.0,98640.0,"New Hampshire, United States"
2148434616,46.0,0.0,19.0,"San Diego, CA"
2148434647,0.0,0.0,0.0,"Miami, FL"
2148434686,0.0,0.0,0.0,"Minneapolis, MN"
2148434725,79541.0,0.0,55280.0,"Spokane, WA"
2148434726,79541.0,0.0,55280.0,"Spokane, WA"
2148434909,117510.65,0.0,91010.65,"Puyallup, WA"
2282679989,20.0,0.0,15.0,"Los Angeles, CA"
2448418468,0.0,0.0,0.0,"Miami, FL"
2481100553,0.0,0.0,0.0,"Cincinnati, OH"
2517244756,15.0,0.0,12.0,"Marietta, GA"
2634247615,0.0,0.0,0.0,"Chillicothe, OH"
2649106600,190000.0,0.0,160000.0,United States
2730408164,27.0,0.0,18.0,"Roswell, GA"
2764358929,0.0,0.0,0.0,"Daly City, CA"
2885838641,25.0,0.0,18.0,"Winnetka, IL"
3047547711,45.0,0.0,25.0,"California, United States"
3099261661,0.0,0.0,0.0,Los Angeles Metropolitan Area
3108036575,90309.0,0.0,82981.0,Greater Phoenix Area
3192471360,0.0,0.0,0.0,"Mineola, NY"
3243289926,80000.0,0.0,77000.0,"San Francisco, CA"
3268185281,0.0,0.0,0.0,"Columbia, PA"
3313349770,45000.0,0.0,40000.0,"Alexandria, VA"
3326588170,0.0,0.0,0.0,"Englewood, CO"
3373346816,0.0,0.0,0.0,"Chicago, IL"
3378133231,30.0,0.0,22.0,"Los Angeles, CA"
3395626440,37.53,0.0,27.63,"Arlington, WA"
3396803783,0.0,0.0,0.0,"Mesa, AZ"
3419060873,0.0,0.0,0.0,United States
3422104915,100000.0,0.0,75000.0,"Ocala, FL"
3442372601,0.0,0.0,0.0,"Herndon, VA"
3487275706,0.0,0.0,0.0,"Henrico, VA"
3497509795,0.0,0.0,0.0,"Annapolis, MD"
3497543368,0.0,0.0,0.0,"Sacramento, CA"
3529464114,35.0,0.0,25.0,"Long Beach, CA"
3532222332,50000.0,0.0,37000.0,"Thomson, GA"
3532827942,0.0,0.0,0.0,"Walnut, CA"
3538940637,0.0,0.0,0.0,"Austin, TX"
3557311439,50000.0,0.0,45000.0,"San Gabriel, CA"
3557380225,22.0,0.0,15.0,"Juneau, AK"
3558876274,100000.0,0.0,60000.0,"Honolulu, HI"
3562282884,0.0,0.0,0.0,"Manitou Springs, CO"
3564601168,0.0,0.0,0.0,"Miami-Dade County, FL"
3568598527,0.0,0.0,0.0,"The Woodlands, TX"
3580193834,0.0,0.0,0.0,"Nashville, TN"
3584068782,70000.0,0.0,60000.0,San Francisco Bay Area
3586162459,0.0,0.0,0.0,United States
3587706348,0.0,0.0,0.0,New York City Metropolitan Area
3587919328,110000.0,0.0,100000.0,"Baltimore, MD"
3596450056,0.0,0.0,0.0,"New York, United States"
3601203087,120000.0,0.0,70000.0,"Charleston, SC"
3601423875,0.0,0.0,0.0,"Waterloo, IA"
3603640939,0.0,0.0,0.0,"Logan, UT"
3606156203,0.0,0.0,0.0,"Phoenix, AZ"
3618024320,70000.0,0.0,55000.0,"Allendale, NJ"
3623811800,0.0,0.0,0.0,"Ames, IA"
3626156340,75000.0,0.0,70000.0,"Burbank, CA"
3627129770,0.0,0.0,0.0,United States
3630997404,0.0,0.0,0.0,"Sunrise Beach, MO"
3634090513,0.0,0.0,0.0,San Francisco Bay Area
3635154108,22.0,0.0,18.0,"Newport Beach, CA"
3636503102,18.0,0.0,18.0,United States
3637608593,23.0,0.0,18.0,Greater Phoenix Area
3638837564,0.0,0.0,0.0,"Brick, NJ"
3640739067,0.0,0.0,0.0,"Bellaire, TX"
3643209562,95500.0,0.0,78000.0,"Seattle, WA"
3643371518,25.0,0.0,20.0,Greater Orlando
3644109811,65000.0,0.0,55000.0,"Madison, GA"
3644195109,0.0,0.0,0.0,Atlanta Metropolitan Area
3653922092,0.0,0.0,0.0,"Washington, DC"
3655655364,0.0,0.0,0.0,"Dallas, TX"
3655683358,0.0,0.0,0.0,United States
3657070723,350000.0,0.0,200000.0,"Fullerton, CA"
3666015999,0.0,33.59,0.0,"Stratford, CT"
3666945557,0.0,0.0,0.0,Greater Houston
3668771880,87000.0,0.0,60000.0,"Boston, MA"
3669525119,0.0,67.0,0.0,"Columbus, IN"
3669562617,0.0,0.0,0.0,"Texas, United States"
